"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var","preexisting_vulnerability_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var1","impact_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var2","protection_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var3","shelter_nfi_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var4","fs_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var5","health_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var6","wash_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var7","education_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"dependent.var8","capacity_gap_score",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"1","preexisting_vulnerability_score","mantika_label","1","Al Jabal Al Gharbi","88% (82%-93%)",NA,0.820312141708431,0.930036443023697,NA,NA,NA
"2","preexisting_vulnerability_score","mantika_label","2","Al Jabal Al Gharbi","3% (0%-6%)",NA,0.00166121507475173,0.0612791469165609,NA,NA,NA
"3","preexisting_vulnerability_score","mantika_label","3","Al Jabal Al Gharbi","9% (5%-14%)",NA,0.045392655384391,0.141318397892169,NA,NA,NA
"4","preexisting_vulnerability_score","mantika_label","1","Aljfara","96% (92%-100%)",NA,0.91980803087385,0.995335438660612,NA,NA,NA
"5","preexisting_vulnerability_score","mantika_label","2","Aljfara","0%",NA,-0.000315685799519446,0.00149054342096762,NA,NA,NA
"6","preexisting_vulnerability_score","mantika_label","3","Aljfara","4% (0%-8%)",NA,0.00408683069963194,0.079594842144458,NA,NA,NA
"7","preexisting_vulnerability_score","mantika_label","1","Aljufra","28% (20%-35%)",NA,0.195678485336313,0.354776310909818,NA,NA,NA
"8","preexisting_vulnerability_score","mantika_label","3","Aljufra","72% (65%-80%)",NA,0.645223689090182,0.804321514663687,NA,NA,NA
"9","preexisting_vulnerability_score","mantika_label","1","Alkufra","98% (96%-100%)",NA,0.955173427028449,0.998129294874939,NA,NA,NA
"10","preexisting_vulnerability_score","mantika_label","2","Alkufra","1% (-1%-2%)",NA,-0.00513740595228088,0.0248791380376728,NA,NA,NA
"11","preexisting_vulnerability_score","mantika_label","3","Alkufra","1% (0%-3%)",NA,-0.00204429901497023,0.02899984502619,NA,NA,NA
"12","preexisting_vulnerability_score","mantika_label","1","Azzawya","97% (95%-100%)",NA,0.94742334637124,1.00235423453495,NA,NA,NA
"13","preexisting_vulnerability_score","mantika_label","2","Azzawya","3% (0%-5%)",NA,-0.00235423453494659,0.0525766536287598,NA,NA,NA
"14","preexisting_vulnerability_score","mantika_label","1","Benghazi","90% (85%-94%)",NA,0.852316679634447,0.939498771613693,NA,NA,NA
"15","preexisting_vulnerability_score","mantika_label","2","Benghazi","1% (0%-2%)",NA,-0.00429351211895816,0.0215458733574351,NA,NA,NA
"16","preexisting_vulnerability_score","mantika_label","3","Benghazi","10% (5%-14%)",NA,0.0534255625630563,0.137506624950328,NA,NA,NA
"17","preexisting_vulnerability_score","mantika_label","1","Derna","97% (95%-100%)",NA,0.951262875642893,0.997287478895789,NA,NA,NA
"18","preexisting_vulnerability_score","mantika_label","2","Derna","1% (-1%-3%)",NA,-0.00620347079408795,0.0252332548277555,NA,NA,NA
"19","preexisting_vulnerability_score","mantika_label","3","Derna","2% (0%-3%)",NA,-0.000763672178070423,0.0331835336057207,NA,NA,NA
"20","preexisting_vulnerability_score","mantika_label","1","Ejdabia","94% (90%-98%)",NA,0.897738869817971,0.978722736341837,NA,NA,NA
"21","preexisting_vulnerability_score","mantika_label","2","Ejdabia","1% (-1%-2%)",NA,-0.00766906298789121,0.0236389947009862,NA,NA,NA
"22","preexisting_vulnerability_score","mantika_label","3","Ejdabia","5% (2%-9%)",NA,0.016096797724217,0.09147166440288,NA,NA,NA
"23","preexisting_vulnerability_score","mantika_label","1","Ghat","67% (61%-74%)",NA,0.610126329875264,0.735520661076413,NA,NA,NA
"24","preexisting_vulnerability_score","mantika_label","2","Ghat","1% (0%-3%)",NA,-0.00262522950013399,0.0317101713466984,NA,NA,NA
"25","preexisting_vulnerability_score","mantika_label","3","Ghat","31% (25%-37%)",NA,0.250457708533884,0.373879512024859,NA,NA,NA
"26","preexisting_vulnerability_score","mantika_label","4","Ghat","0%",NA,-0.000447010147920663,0.00137785679093623,NA,NA,NA
"27","preexisting_vulnerability_score","mantika_label","1","Misrata","96% (93%-99%)",NA,0.92940146753579,0.99066596381143,NA,NA,NA
"28","preexisting_vulnerability_score","mantika_label","3","Misrata","4% (1%-7%)",NA,0.00933403618856999,0.0705985324642104,NA,NA,NA
"29","preexisting_vulnerability_score","mantika_label","1","Murzuq","89% (84%-95%)",NA,0.836079389251802,0.947266239810247,NA,NA,NA
"30","preexisting_vulnerability_score","mantika_label","2","Murzuq","2% (-1%-4%)",NA,-0.00549835338565672,0.0423850317094613,NA,NA,NA
"31","preexisting_vulnerability_score","mantika_label","3","Murzuq","9% (4%-14%)",NA,0.0385977904156613,0.141169902198484,NA,NA,NA
"32","preexisting_vulnerability_score","mantika_label","1","Sebha","99% (98%-101%)",NA,0.975930379938538,1.00687598965691,NA,NA,NA
"33","preexisting_vulnerability_score","mantika_label","2","Sebha","1% (-1%-2%)",NA,-0.0072245786104924,0.0237061498102903,NA,NA,NA
"34","preexisting_vulnerability_score","mantika_label","3","Sebha","0%",NA,-0.000134793206230886,0.000846852410986848,NA,NA,NA
"35","preexisting_vulnerability_score","mantika_label","1","Sirt","85% (80%-90%)",NA,0.804481937796519,0.895871002597562,NA,NA,NA
"36","preexisting_vulnerability_score","mantika_label","2","Sirt","1% (0%-3%)",NA,-0.000686185111422374,0.0269295971557724,NA,NA,NA
"37","preexisting_vulnerability_score","mantika_label","3","Sirt","14% (9%-18%)",NA,0.0925470738796843,0.180856573681885,NA,NA,NA
"38","preexisting_vulnerability_score","mantika_label","1","Tripoli","90% (85%-95%)",NA,0.847986606980804,0.948566081140822,NA,NA,NA
"39","preexisting_vulnerability_score","mantika_label","2","Tripoli","2% (-1%-4%)",NA,-0.00573831293267468,0.0388780952477331,NA,NA,NA
"40","preexisting_vulnerability_score","mantika_label","3","Tripoli","9% (4%-13%)",NA,0.0391872436376165,0.131120285925699,NA,NA,NA
"41","preexisting_vulnerability_score","mantika_label","1","Ubari","87% (83%-91%)",NA,0.825910619726489,0.912804668244247,NA,NA,NA
"42","preexisting_vulnerability_score","mantika_label","2","Ubari","3% (0%-5%)",NA,0.0013933702183757,0.049309980166043,NA,NA,NA
"43","preexisting_vulnerability_score","mantika_label","3","Ubari","11% (7%-14%)",NA,0.068061723908458,0.142519637736388,NA,NA,NA
"44","preexisting_vulnerability_score","mantika_label","1","Wadi Ashshati","98% (96%-100%)",NA,0.95731505620447,1.00482098585048,NA,NA,NA
"45","preexisting_vulnerability_score","mantika_label","3","Wadi Ashshati","2% (0%-4%)",NA,-0.00482098585048329,0.0426849437955303,NA,NA,NA
"46","preexisting_vulnerability_score","mantika_label","1","Zwara","90% (85%-96%)",NA,0.85012371002641,0.95669225648131,NA,NA,NA
"47","preexisting_vulnerability_score","mantika_label","3","Zwara","10% (4%-15%)",NA,0.0433077435186903,0.14987628997359,NA,NA,NA
"191","impact_score","mantika_label","1","Al Jabal Al Gharbi","65% (58%-73%)",NA,0.578583690732891,0.729759761666841,NA,NA,1.34964442251405e-41
"210","impact_score","mantika_label","2","Al Jabal Al Gharbi","2% (0%-5%)",NA,0.00281195552216296,0.0462861198465884,NA,NA,1.34964442251405e-41
"310","impact_score","mantika_label","3","Al Jabal Al Gharbi","32% (25%-40%)",NA,0.246880649585881,0.395677822645637,NA,NA,1.34964442251405e-41
"410","impact_score","mantika_label","1","Aljfara","72% (63%-80%)",NA,0.6344432871838,0.802369540006526,NA,NA,1.34964442251405e-41
"510","impact_score","mantika_label","2","Aljfara","0% (0%-1%)",NA,0.00136524280160771,0.00568390292708132,NA,NA,1.34964442251405e-41
"610","impact_score","mantika_label","3","Aljfara","28% (19%-36%)",NA,0.19410872289797,0.362029304183015,NA,NA,1.34964442251405e-41
"710","impact_score","mantika_label","1","Aljufra","97% (97%-97%)",NA,0.969613843470321,0.973936290074759,NA,NA,1.34964442251405e-41
"810","impact_score","mantika_label","3","Aljufra","3% (3%-3%)",NA,0.0260637099252407,0.0303861565296788,NA,NA,1.34964442251405e-41
"910","impact_score","mantika_label","1","Alkufra","96% (95%-98%)",NA,0.945860878232349,0.98130348459259,NA,NA,1.34964442251405e-41
"1010","impact_score","mantika_label","2","Alkufra","0% (0%-1%)",NA,0.00119864504529104,0.00861237648940975,NA,NA,1.34964442251405e-41
"1110","impact_score","mantika_label","3","Alkufra","3% (1%-5%)",NA,0.0140577642374728,0.0489668514028866,NA,NA,1.34964442251405e-41
"1210","impact_score","mantika_label","1","Azzawya","92% (87%-97%)",NA,0.873256752172119,0.965985881267697,NA,NA,1.34964442251405e-41
"1310","impact_score","mantika_label","2","Azzawya","1% (-1%-2%)",NA,-0.00710434197313178,0.0249182841278229,NA,NA,1.34964442251405e-41
"1410","impact_score","mantika_label","3","Azzawya","7% (3%-12%)",NA,0.0275566169265662,0.115386807478926,NA,NA,1.34964442251405e-41
"1510","impact_score","mantika_label","1","Benghazi","94% (92%-96%)",NA,0.921977411696638,0.957768752566706,NA,NA,1.34964442251405e-41
"1610","impact_score","mantika_label","2","Benghazi","1% (0%-2%)",NA,0.00143331705179439,0.0193012927258438,NA,NA,1.34964442251405e-41
